provincias,denuncias2020
ABANCAY,756
ACOBAMBA,52
ACOMAYO,26
AIJA,25
ALTO AMAZONAS,464
AMBO,140
ANDAHUAYLAS,458
ANGARAES,40
ANTA,132
ANTABAMBA,41
ANTONIO RAYMONDI,37
AREQUIPA,8963
ASCOPE,615
ASUNCION,33
ATALAYA,134
AYABACA,103
AYMARAES,83
AZANGARO,102
BAGUA,442
BARRANCA,937
BELLAVISTA,106
BOLOGNESI,115
BONGARA,127
CAJABAMBA,235
CAJAMARCA,1404
CAJATAMBO,5
CALCA,144
CALLAO,8100
CAMANA,465
CANAS,24
CANCHIS,265
CANDARAVE,5
CANGALLO,59
CANTA,86
CARABAYA,16
CARAVELI,310
CARHUAZ,113
CARLOS FERMIN FITZCARRALD,17
CASMA,515
CASTILLA,122
CASTROVIRREYNA,28
CAYLLOMA,464
CAÑETE,2672
CELENDIN,201
CHACHAPOYAS,406
CHANCHAMAYO,967
CHEPEN,696
CHICLAYO,10176
CHINCHA,2328
CHINCHEROS,153
CHOTA,213
CHUCUITO,61
CHUMBIVILCAS,259
CHUPACA,276
CHURCAMPA,44
CONCEPCION,101
CONDESUYOS,18
CONDORCANQUI,54
CONTRALMIRANTE VILLAR,66
CONTUMAZA,125
CORONEL PORTILLO,4221
CORONGO,23
COTABAMBAS,143
CUSCO,3420
CUTERVO,210
DANIEL ALCIDES CARRION,126
DATEM DEL MARAÑON,1
DOS DE MAYO,45
EL COLLAO,57
EL DORADO,23
ESPINAR,259
FERREÑAFE,302
GENERAL SANCHEZ CERRO,31
GRAN CHIMU,40
GRAU,119
HUACAYBAMBA,7
HUALGAYOC,225
HUALLAGA,112
HUAMALIES,59
HUAMANGA,1771
HUANCA SANCOS,14
HUANCABAMBA,65
HUANCANE,91
HUANCAVELICA,315
HUANCAYO,3019
HUANTA,193
HUANUCO,1751
HUARAL,349
HUARAZ,965
HUARI,182
HUARMEY,304
HUAROCHIRI,387
HUAURA,1644
HUAYLAS,351
HUAYTARA,29
ICA,3364
ILO,421
ISLAY,472
JAEN,1687
JAUJA,254
JORGE BASADRE,8
JULCAN,14
JUNIN,85
LA CONVENCION,699
LA MAR,173
LA UNION,9
LAMAS,137
LAMBAYEQUE,1484
LAMPA,20
LAURICOCHA,1
LEONCIO PRADO,713
LIMA,72510
LORETO,71
LUCANAS,103
LUYA,100
MANU,22
MARAÑON,32
MARISCAL CACERES,155
MARISCAL LUZURIAGA,19
MARISCAL NIETO,492
MARISCAL RAMON CASTILLA,45
MAYNAS,1757
MELGAR,46
MOHO,7
MORROPON,643
MOYOBAMBA,778
NAZCA,387
OCROS,7
OTUZCO,84
OXAPAMPA,397
OYON,57
PACASMAYO,631
PACHITEA,43
PADRE ABAD,256
PAITA,466
PALLASCA,49
PALPA,68
PARINACOCHAS,48
PARURO,22
PASCO,412
PATAZ,150
PAUCAR DEL SARA SARA,46
PAUCARTAMBO,73
PICOTA,104
PISCO,1724
PIURA,8780
POMABAMBA,51
PUERTO INCA,123
PUNO,695
PURUS,1
QUISPICANCHI,141
RECUAY,82
REQUENA,27
RIOJA,767
RODRIGUEZ DE MENDOZA,129
SAN ANTONIO DE PUTINA,67
SAN IGNACIO,212
SAN MARCOS,73
SAN MARTIN,1111
SAN MIGUEL,52
SAN PABLO,33
SAN ROMAN,952
SANCHEZ CARRION,121
SANDIA,44
SANTA,3583
SANTA CRUZ,32
SANTIAGO DE CHUCO,65
SATIPO,1193
SECHURA,240
SIHUAS,25
SUCRE,31
SULLANA,1590
TACNA,2061
TAHUAMANU,22
TALARA,898
TAMBOPATA,1280
TARATA,28
TARMA,166
TAYACAJA,129
TOCACHE,310
TRUJILLO,7837
TUMBES,1375
UCAYALI,62
URUBAMBA,370
UTCUBAMBA,1412
VICTOR FAJARDO,30
VILCAS HUAMAN,15
VIRU,434
YAROWILCA,44
YAULI,114
YAUYOS,41
YUNGAY,131
YUNGUYO,31
ZARUMILLA,333
